"Time (s)"	"Acceleration (m/s²)"
2.026125471E1	-4.685811996E-1
2.030125474E1	-3.825063705E-1
2.034125508E1	4.220604897E-2
2.039125441E1	3.482049942E-1
2.043125474E1	-3.577971458E-2
2.047125474E1	-1.070315838E-1
2.051125474E1	-1.860454082E-1
2.055125474E1	-1.060206890E-1
2.059125507E1	4.608073235E-1
2.064125440E1	3.690591812E-1
2.068125474E1	-4.653081894E-1
2.072125474E1	-3.384087086E-1
2.076125474E1	-9.312939644E-2
2.081125430E1	1.382583618E-1
2.085125464E1	1.261267662E-1
2.090125430E1	2.460172653E-1
2.094125430E1	-4.695475101E-1
2.099125354E1	1.304708481E-1
2.104125350E1	5.364360809E-2
2.108125427E1	4.133558273E-2
2.112125460E1	1.704368591E-1
2.116125460E1	-3.499133587E-1
2.120125493E1	-3.146674633E-1
2.124125493E1	1.492865086E-1
2.128125537E1	1.847283840E-1
2.133125507E1	-8.211593628E-2
2.137125540E1	1.259367466E-1
2.142125507E1	-1.213840485E-1
2.146125507E1	7.870531082E-2
2.151125503E1	1.032995224E-1
2.155125503E1	-6.593132019E-2
2.159125570E1	3.305888176E-2
2.163125570E1	-2.363538742E-2
2.168125503E1	-1.406377792E-1
2.172125503E1	4.953265190E-2
2.176125503E1	1.725950241E-1
2.180125506E1	-4.414772987E-2
2.184125540E1	-1.604795456E-1
2.189125473E1	-9.691009521E-2
2.193125506E1	1.605324745E-1
2.197125506E1	-3.132843971E-2
2.201125506E1	6.875991821E-4
2.206125473E1	5.348110199E-2
2.210125506E1	-9.781217575E-2
2.215125473E1	1.305015564E-1
2.219125473E1	1.734747887E-1
2.223125473E1	-1.975278854E-1
2.227125473E1	-2.873311043E-1
2.231125506E1	-6.949377060E-2
2.235125539E1	1.583864689E-1
2.240125472E1	2.174167633E-2
2.244125472E1	-1.325836182E-1
2.248125472E1	-6.309700012E-2
2.253125469E1	9.773216248E-2
2.257125469E1	1.820905209E-1
2.261125502E1	1.891343594E-1
2.266115502E1	-2.677524567E-1
2.271098868E1	-1.819047928E-1
2.276082202E1	2.737951279E-1
2.281065568E1	-1.233829498E-1
2.286048904E1	1.885051727E-2
2.291032204E1	-7.378883362E-2
2.296025570E1	-2.335596085E-1
2.300025570E1	4.146733284E-1
2.304025570E1	2.296662331E-1
2.308025604E1	-4.810130596E-1
2.313025537E1	-1.541383743E-1
2.317025537E1	5.491540432E-1
2.321025544E1	-4.780507088E-2
2.326025510E1	-9.861946106E-2
2.331025513E1	-2.942657471E-2
2.335025513E1	-4.845666885E-2
2.339025513E1	2.929780483E-1
2.343025547E1	8.556699753E-2
2.347025580E1	-4.667382240E-1
2.352025540E1	-1.642099380E-1
2.357025570E1	-2.018585205E-2
2.362025533E1	1.234205246E-1
2.366025533E1	1.277923584E-4
2.370025566E1	-6.117463112E-2
2.374025566E1	9.225773811E-2
2.379025566E1	1.896352768E-1
2.383025600E1	5.740880966E-3
2.388025566E1	-2.618703842E-1
2.393025536E1	1.282501221E-3
2.397025569E1	2.990150452E-2
2.402025503E1	1.230892181E-1
2.406025536E1	-6.101846695E-2
2.411025499E1	-3.086263657E-1
2.415025532E1	3.283295631E-1
2.419025532E1	2.098979950E-1
2.423025566E1	-2.508172989E-1
2.428025499E1	8.115615845E-2
2.432025566E1	-6.525778770E-2
2.437025532E1	8.157138824E-2
2.441025535E1	3.059670925E-1
2.445025569E1	-5.301735401E-1
2.449025569E1	-4.340741634E-1
2.453025569E1	4.057178497E-1
2.457025602E1	2.296514511E-1
2.462025535E1	-1.853910446E-1
2.466025535E1	2.711122036E-1
2.471025535E1	-1.543439865E-1
2.476025502E1	1.915584564E-1
2.481025502E1	3.469200134E-2
2.486025468E1	-3.187383652E-1
2.490025468E1	5.550503731E-2
2.494025502E1	-1.254880428E-1
2.498025511E1	-1.399705410E-1
2.502025511E1	4.124329090E-1
2.507025511E1	3.311157227E-2
2.512025478E1	-2.468191147E-1
2.517025478E1	1.401029587E-1
2.521025511E1	4.878807068E-2
2.526025444E1	-1.094314575E-1
2.531025468E1	-2.903324127E-1
2.535025468E1	-5.446481705E-2
2.540025434E1	7.467479706E-2
2.544025434E1	1.314439774E-1
2.548025467E1	2.457458973E-1
2.553025434E1	-5.916786194E-2
2.557025467E1	-7.828378677E-2
2.562025434E1	2.547378540E-2
2.566025434E1	7.504224777E-3
2.570025437E1	-1.536309719E-1
2.574025437E1	-1.386036873E-1
2.579025404E1	7.784729004E-2
2.583025437E1	3.406047821E-3
2.588025404E1	5.660228729E-2
2.592025404E1	3.239281178E-1
2.596025437E1	-1.530580521E-1
2.601025434E1	-1.354728699E-1
2.605025434E1	2.476160526E-1
2.609025440E1	-1.989619732E-1
2.614025407E1	-1.935327530E-1
2.618025407E1	1.630527973E-1
2.622025440E1	-1.780822277E-1
2.627025407E1	6.467247009E-2
2.631025440E1	3.896973133E-1
2.635025440E1	-1.919476986E-1
2.640025433E1	-5.774307251E-3
2.644025433E1	1.707623005E-1
2.648025467E1	-1.770448685E-1
2.653025433E1	-1.681356430E-1
2.657025466E1	-2.354311943E-2
2.662025433E1	-5.634880066E-3
2.666025433E1	4.782795906E-2
2.670025550E1	1.631021500E-1
2.674025550E1	8.405947685E-2
2.679025516E1	-5.794887543E-2
2.684008883E1	4.575538635E-2
2.688992182E1	4.953575134E-3
2.693975549E1	-1.849567413E-1
2.698958798E1	-3.723773956E-2
2.703942115E1	-1.239418030E-1
2.708925448E1	4.332542419E-2
2.713925415E1	2.391162872E-1
2.717925448E1	-2.569620609E-1
2.721925448E1	-7.417798042E-2
2.725925448E1	2.926986217E-1
2.729925464E1	9.888410568E-3
2.734925448E1	-2.426696777E-1
2.738925448E1	1.572227478E-1
2.742925481E1	-1.815252304E-1
2.747925448E1	4.953575134E-3
2.752925431E1	1.300464630E-1
2.756925431E1	-1.681709290E-1
2.761925414E1	8.057117462E-2
2.765925414E1	1.175396442E-1
2.769925447E1	-1.666231155E-1
2.774925414E1	-2.077999115E-1
2.778925431E1	-9.600615501E-2
2.783925414E1	2.793430328E-1
2.787925414E1	-2.985739708E-2
2.791925447E1	-2.620890141E-1
2.795925447E1	3.174083233E-1
2.800925447E1	2.021009445E-1
2.804925480E1	-4.288382530E-1
2.809925464E1	-1.639835358E-1
2.813925464E1	1.158156395E-1
2.817925497E1	9.504866600E-2
2.822925464E1	1.362352371E-1
2.826925464E1	-4.035539627E-1
2.831925447E1	-2.376384735E-1
2.836925413E1	5.386215210E-1
2.840925413E1	1.425554752E-1
2.844925447E1	-2.095541954E-1
2.849925413E1	-2.934169769E-1
2.853925430E1	-1.070537567E-1
2.858925413E1	2.186817169E-1
2.862925413E1	6.462717056E-2
2.866925446E1	7.770061493E-4
2.870925446E1	-5.497074127E-2
2.875925413E1	-1.135286331E-1
2.879925430E1	-2.454516888E-1
2.884925413E1	2.375808716E-1
2.888925413E1	9.081172943E-2
2.892925446E1	-1.894648075E-1
2.897925413E1	-1.120811462E-1
2.901925413E1	-6.925702095E-2
2.905925430E1	2.191047668E-1
2.910925413E1	2.350967407E-1
2.914925413E1	-2.357337475E-1
2.918925446E1	-2.976748943E-1
2.923925413E1	-2.548980713E-2
2.927925429E1	1.234953403E-1
2.931925429E1	1.502501965E-1
2.936925413E1	2.262630463E-2
2.940925413E1	-2.720093727E-2
2.944925446E1	-4.527609348E-1
2.949925412E1	1.730194092E-2
2.953925429E1	4.862668514E-1
2.958925412E1	5.421752930E-2
2.962925412E1	-3.564496040E-1
2.966925446E1	-2.428157330E-1
2.970925446E1	-4.983854294E-2
2.975925412E1	4.660306931E-1
2.979925429E1	2.227640152E-2
2.984925412E1	-1.979473114E-1
2.988925412E1	-2.962267399E-1
2.992925442E1	-3.651070595E-2
2.997925409E1	2.886791229E-1
3.001925409E1	-3.016233444E-2
3.005925425E1	-1.443300247E-1
3.010925409E1	-1.794576645E-1
3.014925409E1	-1.123728752E-1
3.018925442E1	2.474899292E-1
3.023925412E1	2.462446213E-1
3.027925479E1	-5.889494419E-1
3.031925479E1	-3.662939072E-1
3.036925462E1	2.345998764E-1
3.040925462E1	4.776585102E-1
3.044925495E1	1.213920116E-1
3.049925462E1	-4.340393066E-1
3.053925478E1	-3.834133148E-1
3.058925412E1	6.124752045E-1
3.062925412E1	8.691334724E-2
3.066925415E1	-3.389220238E-1
3.070925415E1	-2.660734653E-1
3.075925382E1	-1.671085358E-1
3.079925398E1	2.340569496E-1
3.084925381E1	4.038860321E-1
3.088925381E1	-2.067346573E-1
3.092925385E1	-2.551381588E-1
3.097925345E1	2.240962982E-1
3.101925345E1	-1.810882092E-1
3.105925345E1	3.017663956E-2
3.110925328E1	1.018135071E-1
3.114925328E1	-4.110217094E-1
3.118925361E1	-8.741760254E-2
3.123925358E1	3.725265503E-1
3.127925394E1	-2.707426548E-1
3.131925395E1	-2.445228100E-1
3.135925425E1	4.171795845E-1
3.139925458E1	-5.952548981E-2
3.143925491E1	-2.980065346E-1
3.148925491E1	1.960508347E-1
3.152925508E1	-1.952164173E-1
3.156925508E1	-1.953709126E-1
3.160925508E1	2.785096169E-1
3.164925508E1	8.275437355E-2
3.169925478E1	-1.408491135E-1
3.174925444E1	1.868640900E-1
3.179925411E1	-1.024261475E-1
3.184925394E1	-2.795043945E-1
3.188925394E1	7.425928116E-2
3.192925427E1	5.281305313E-2
3.197925394E1	-9.793128967E-2
3.201925427E1	-1.668190956E-2
